salario,idade,tempo_na_empresa,nota_media,qtd_beneficios,cargo,setor
7389.164490918078,21.439971167982392,3.39794251078687,0.0,5,Administrador do Sistema,Administração
7247.9063475441235,53.7073833943785,0.5439631331015446,1.221158345407242,0,Analista de RH,Operações
10303.296194864633,25.546482150338274,1.3695772389149157,0.0,0,Analista de RH,Tecnologia
5725.202287512166,47.258215889087666,0.3139031221347438,0.0,0,Analista de RH,Operações
3766.36071779306,19.0,0.0,1.2286356816434336,0,Funcionário,Recursos Humanos
6658.979188758325,38.30156626288262,0.8445630287418127,4.5606203486263075,0,Analista de RH,Operações
3703.3406409860017,19.0,3.172605526261669,1.4390073446236022,0,Funcionário,Recursos Humanos
12130.027489232938,65.2767289064534,1.7988314412603468,0.0,0,Analista de RH,Recursos Humanos
1200.0,32.811137911198195,4.954951398928023,0.0,0,Analista de RH,Recursos Humanos
5718.777028002759,64.58412580295864,1.4673250908091884,0.0,0,Analista de RH,Tecnologia
1200.0,19.146040376101343,2.992215795013503,0.0,0,Funcionário,Tecnologia
8888.477688334273,57.66570103135495,2.439804740201074,0.08879933263288439,0,Analista de RH,Recursos Humanos
1623.1251173695405,56.61408543070185,11.912496093449068,0.0,0,Funcionário,Recursos Humanos
8089.686775933849,52.464965995864134,6.875001393187401,0.43714741813818425,0,Analista de RH,Recursos Humanos
3751.9186082387573,62.45283915721151,6.115117473009887,3.181626476934519,0,Funcionário,Operações
9324.822171040305,52.33820286693981,0.702487611649733,9.214110853400419,0,Funcionário,Tecnologia
6930.288962481556,21.00083877311391,1.9329345854285434,0.0,0,Analista de RH,Recursos Humanos
10231.71345012934,28.43564339787343,5.741376808619932,0.0,0,Analista de RH,Operações
5209.939523254063,53.40435139220172,0.0,0.0,0,Funcionário,Administração
1200.0,47.11283567136649,10.074590922796625,0.0,0,Funcionário,Administração
9176.289522204566,57.39359071939336,0.0,0.0,0,Analista de RH,Tecnologia
3548.4712969024376,19.0,2.7736043625649978,0.0,0,Analista de RH,Recursos Humanos
9991.347584012721,63.61716733517072,1.3446480552498814,4.502197211186566,6,Analista de RH,Operações
10019.997296486996,59.71411316542251,5.776646739040502,0.0,6,Analista de RH,Operações
1347.1634055287725,58.36038241459041,0.0,3.646390856863455,3,Funcionário,Recursos Humanos
1200.0,54.69255407648477,0.31617016981559876,0.0,3,Funcionário,Recursos Humanos
1200.0,39.88045139631139,8.12038749181355,0.0,3,Funcionário,Administração
1200.0,34.11006679704599,8.18418729864846,3.3200141980628715,3,Funcionário,Recursos Humanos
