salario,idade,tempo_na_empresa,nota_media,qtd_beneficios,cargo,setor
4500.0,35,4,0.0,5,Administrador do Sistema,Administração
7407.48,36,3,3.0,6,Analista de RH,Tecnologia
4034.0,43,3,3.5,6,Analista de RH,Operações
6474.0,50,10,5.444444444444445,6,Analista de RH,Recursos Humanos
4048.0,57,7,4.166666666666667,6,Analista de RH,Administração
7691.63,53,2,9.0,6,Analista de RH,Tecnologia
8046.97,47,10,5.375,6,Analista de RH,Operações
8577.11,59,8,6.0,6,Analista de RH,Tecnologia
10103.91,45,6,8.2,6,Analista de RH,Recursos Humanos
3870.63,44,2,5.0,3,Funcionário,Administração
4452.66,57,5,3.25,3,Funcionário,Administração
5067.66,55,5,7.5,3,Funcionário,Administração
8856.68,48,8,3.857142857142857,6,Analista de RH,Operações
8973.47,29,9,4.25,6,Analista de RH,Administração
5438.09,48,7,6.0,3,Funcionário,Operações
8035.54,63,8,3.142857142857143,6,Analista de RH,Tecnologia
9368.91,54,6,6.4,6,Analista de RH,Administração
4703.47,52,9,4.25,3,Funcionário,Operações
3890.74,33,0,0.0,3,Funcionário,Tecnologia
3153.63,47,2,1.0,3,Funcionário,Tecnologia
8982.63,60,2,8.0,6,Analista de RH,Administração
4921.75,47,7,5.666666666666667,3,Funcionário,Operações
6857.63,53,2,3.0,6,Analista de RH,Recursos Humanos
4712.26,20,10,5.0,3,Funcionário,Tecnologia
3660.48,47,3,3.5,3,Funcionário,Administração
4495.68,36,8,4.857142857142857,3,Funcionário,Tecnologia
3784.63,36,2,5.0,3,Funcionário,Operações
4523.97,31,8,5.285714285714286,3,Funcionário,Recursos Humanos
9047.66,55,5,5.25,6,Analista de RH,Administração
9792.04,19,10,5.444444444444445,6,Analista de RH,Tecnologia
7835.48,65,3,4.5,6,Analista de RH,Operações
7254.74,63,0,0.0,6,Analista de RH,Tecnologia
7915.66,20,6,4.25,6,Analista de RH,Administração
6822.47,64,9,4.0,6,Analista de RH,Operações
8116.42,27,7,4.333333333333333,6,Analista de RH,Operações
7913.47,48,9,5.25,6,Analista de RH,Administração
8613.91,26,6,2.2,6,Analista de RH,Operações
7804.63,29,1,0.0,6,Analista de RH,Administração
5865.63,35,1,0.0,6,Analista de RH,Administração
