model,dataset,test_mae,train_mae,generalization_gap_%
XGBoost,baseline,522.681,431.936,17.193
XGBoost,eps_0.1,5977.578,4627.582,22.555
XGBoost,eps_0.5,2096.791,1556.271,25.763
XGBoost,eps_1.0,1260.982,964.045,23.345
XGBoost,eps_2.0,792.626,609.526,22.95
Random Forest,baseline,522.474,459.028,11.973
Random Forest,eps_0.1,5892.99,5086.25,13.676
Random Forest,eps_0.5,2030.183,1678.109,17.32
Random Forest,eps_1.0,1225.436,1033.907,15.403
Random Forest,eps_2.0,773.266,646.132,16.267
Gradient Boosting,baseline,519.204,453.823,12.41
Gradient Boosting,eps_0.1,5914.611,4872.223,17.6
Gradient Boosting,eps_0.5,2072.667,1626.14,21.525
Gradient Boosting,eps_1.0,1246.196,1005.522,19.118
Gradient Boosting,eps_2.0,781.912,636.105,18.483
Extra Trees,baseline,520.254,464.815,10.491
Extra Trees,eps_0.1,5835.613,5385.502,7.706
Extra Trees,eps_0.5,2006.232,1757.789,12.345
Extra Trees,eps_1.0,1218.356,1094.825,9.932
Extra Trees,eps_2.0,764.053,687.447,9.834
